Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
26650000,9.991649,0.06698778,2017.0,200.80001783370972,200.80001783370972,0.017660772,0.024898466,3.3746728e-05,0.111248866,0.000571319,1.0
26700000,9.990181,0.06487187,4517.0,450.800039768219,450.800039768219,0.021943357,0.021733893,3.3257093e-05,0.11108567,0.00056317484,1.0
26750000,9.985819,0.06386687,5489.666666666667,548.0667153994242,548.0667153994242,0.032265905,0.023649301,3.27743e-05,0.11092474,0.0005551444,1.0
26800000,9.976384,0.066581726,7578.0,756.9000675678253,756.9000675678253,0.049187906,0.02411089,3.225023e-05,0.11075006,0.00054642744,1.0
26850000,9.978815,0.059233718,9617.0,960.800085902214,960.800085902214,0.015023622,0.022958357,3.1724918e-05,0.110574946,0.00053768966,1.0
26900000,9.978622,0.057222776,10317.0,1030.8000920613606,1030.8000920613606,0.045791734,0.024720598,3.1210828e-05,0.110403575,0.00052913855,1.0
26950000,9.981879,0.05932442,None,None,None,0.0027389708,0.022880843,3.0737836e-05,0.11024591,0.0005212711,1.0
27000000,9.979629,0.06315608,8523.666666666666,851.4667425950369,851.4667425950369,0.045429748,0.025086844,3.0270448e-05,0.110090114,0.0005134969,1.0
27050000,9.97912,0.06335838,12283.0,1227.4001096487045,1227.4001096487045,0.01270297,0.024066022,2.9755329e-05,0.1099184,0.0005049287,1.0
27100000,9.978387,0.06171987,16232.5,1622.3501444458961,1622.3501444458961,0.050731968,0.021106362,2.9236628e-05,0.1097455,0.00049630104,1.0
27150000,9.98391,0.056326807,19141.0,1913.2001711130142,1913.2001711130142,0.011667479,0.026932325,2.871457e-05,0.109571494,0.0004876175,1.0
27200000,9.985678,0.061779164,20517.0,2050.8001828193665,2050.8001828193665,0.00065549155,0.022789838,2.8250415e-05,0.10941679,0.000479897,1.0
27250000,9.992128,0.06548855,10926.0,1091.7000972032547,1091.7000972032547,0.0482769,0.023767952,2.778495e-05,0.10926162,0.00047215464,1.0
27300000,9.993842,0.05820226,22717.0,2270.80020236969,2270.80020236969,0.01705483,0.022496877,2.726234e-05,0.10908742,0.00046346203,1.0
27350000,9.994362,0.06887139,None,None,None,0.001559966,0.024817232,2.674612e-05,0.10891533,0.00045487555,1.0
27400000,9.990756,0.06843049,11467.666666666666,1145.8667688767116,1145.8667688767116,0.053789318,0.0253728,2.6230216e-05,0.108743355,0.00044629443,1.0
27450000,9.979417,0.066998,1916.0,190.70001649856567,190.70001649856567,0.016177822,0.022813993,2.5708705e-05,0.10856954,0.00043761992,1.0
27500000,9.985441,0.062488884,None,None,None,0.0017941617,0.02329688,2.5242669e-05,0.1084142,0.00042986817,1.0
27550000,9.984326,0.06012648,16716.0,1670.7001494169235,1670.7001494169235,0.0132654905,0.023407433,2.477808e-05,0.10825932,0.00042214044,1.0
27600000,9.986391,0.05831148,16616.0,1660.7001481056213,1660.7001481056213,0.015743958,0.020691507,2.4259461e-05,0.10808647,0.00041351412,1.0
27650000,9.98945,0.05796514,33817.0,3380.8003021478653,3380.8003021478653,0.016832504,0.024941312,2.3739e-05,0.10791298,0.00040485716,1.0
27700000,9.9947405,0.05795897,None,None,None,0.0014028229,0.024536362,2.3223445e-05,0.10774114,0.0003962817,1.0
27750000,9.992993,0.056543108,36517.0,3650.800325870514,3650.800325870514,0.016826494,0.022012841,2.270773e-05,0.10756922,0.0003877037,1.0
27800000,9.9820175,0.056667197,25259.0,2525.0002255042396,2525.0002255042396,0.059049964,0.024462787,2.2238928e-05,0.107412964,0.00037990598,1.0
27850000,9.970301,0.058965422,23680.333333333332,2367.1335447629294,2367.1335447629294,0.04605804,0.023602042,2.1773436e-05,0.1072578,0.0003721632,1.0
27900000,9.981652,0.049893286,None,None,None,0.0027329284,0.023195196,2.1257154e-05,0.10708567,0.0003635758,1.0
27950000,9.96933,0.054126944,21147.428571428572,2113.84304609469,2113.84304609469,0.09165124,0.023307767,2.0741576e-05,0.10691382,0.00035499997,1.0
28000000,9.947293,0.053949565,22671.0,2266.2002025842667,2266.2002025842667,0.041533746,0.024079716,2.0227457e-05,0.10674248,0.00034644845,1.0
28050000,9.961635,0.054068692,4624.5,461.5500407218933,461.5500407218933,0.03756807,0.022490317,1.9707204e-05,0.10656904,0.00033779495,1.0
28100000,9.96852,0.054562464,None,None,None,0.0024594057,0.021357432,1.9243076e-05,0.10641435,0.00033007486,1.0
